"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"iscontroversial";"isfeatured";"istalk_page"
"63";"Nirman";"0.0963414634146341";"41";"16";"158";"0.260204081632653";"5";"5";"0.8109375";"16.6133333333333";"4.6";"11.1";"6.7";"38.1110936342722";"11.3887033547531";"27.7429141214584";"2.70185121722126";"0";"0";1
"64";"Nivithigala_Divisional_Secretariat";"0.333333333333333";"4";"0";"4";"0.6";"1";"0";"0.222222222222222";"0";"2";"0.333333333333333";"2";"0.577350269189626";"1";NA;NA;"0";"0";1
"65";"Placebo_discography";"0.0164703315881326";"192";"96";"604";"0.0797573919636088";"7";"7";"0.580795482579973";"519.952927231499";"11";"102.670157068063";"5.13612565445026";"389.254406086307";"8.64457868839872";"935.625256059171";"18.9032625050104";"0";"0";1
"66";"Pokhran-II";"0.0108298171589311";"396";"199";"1694";"0.0798060593489506";"29";"17";"0.508174971959622";"175.822661158462";"6.58620689655172";"219.496202531646";"7.54177215189873";"945.620844463291";"14.8471109120685";"865.653665336256";"16.3783769503298";"0";"0";1
"67";"Raul_Martins";"0.166666666666667";"9";"1";"12";"0.285714285714286";"0";"1";"0.375";"NaN";"NaN";"0";"2";"0";"1.30930734141595";NA;NA;"0";"0";1
"68";"Ross_Overbeek";"0.0444444444444444";"46";"5";"92";"0.149576669802446";"9";"7";"0.420246913580247";"1.96913580246914";"3.22222222222222";"1.75555555555556";"3.17777777777778";"6.84487610143496";"2.69079988858407";"3.03679354827912";"1.71593835683117";"0";"0";1
"69";"San_Antonio_College";"0.0311653116531165";"82";"33";"207";"0.114827586206897";"6";"9";"0.493369913123";"4.46527777777778";"2.66666666666667";"7.53086419753086";"4.07407407407407";"17.3466371953642";"4.74019455765736";"10.0647354889715";"1.50554530541816";"0";"0";1
"70";"Sari_Gat_Hut_Gat_Bala";"0.25";"4";"0";"3";"0";"1";"2";"0.111111111111111";"1";"2";"0.333333333333333";"1.33333333333333";"0.577350269189626";"0.577350269189626";NA;NA;"0";"0";1
"71";"Scopula_yamanei";"0.416666666666667";"4";"0";"5";"0.75";"0";"0";"0.111111111111111";"NaN";"NaN";"0";"2.33333333333333";"0";"0.577350269189626";NA;NA;"0";"0";1
"72";"Serge_Karlow";"0.113970588235294";"17";"0";"31";"0.291666666666667";"1";"4";"0.41015625";"6.5";"7";"1.625";"2.875";"2.36369140055064";"1.58640053790544";NA;NA;"0";"0";1
"73";"Shabaka_Stone";"0.0596153846153846";"40";"4";"93";"0.222898903775883";"2";"8";"0.399079552925707";"0.0714285714285714";"2";"3";"3.87179487179487";"8.26730916101571";"2.92160272506905";"0.101015254455221";"0";"0";"0";1
"74";"Shining_Stars_Bless";"0.144444444444444";"10";"2";"13";"0.292682926829268";"0";"1";"0.333333333333333";"NaN";"NaN";"0.111111111111111";"2";"0.333333333333333";"1";NA;NA;"0";"0";1
"75";"Sidney_A._Marchand";"0.5";"3";"0";"3";"1";"0";"0";"0";"NaN";"NaN";"0";"2";"0";"0";NA;NA;"0";"0";1
"76";"Super_Fight_League";"0.0297019527235355";"140";"63";"578";"0.144883646796302";"6";"9";"0.560633507582423";"0.0948275862068965";"3.66666666666667";"41.6330935251799";"7.14388489208633";"139.069064627291";"11.5843229591304";"0.215827363079808";"1.96638416050035";"0";"0";1
"77";"Susie_Maroney";"0.0357798165137615";"110";"42";"429";"0.16282822355875";"14";"10";"0.510142243918862";"16.9620799835086";"6.21428571428571";"16.9266055045872";"6.91743119266055";"75.7827115537092";"13.4206367075644";"41.8005639561843";"5.96371814105379";"0";"0";1
"78";"Sybra_sibuyana";"0.5";"4";"0";"6";"0.6";"0";"0";"0.444444444444444";"NaN";"NaN";"0";"2.66666666666667";"0";"2.08166599946613";NA;NA;"0";"0";1
"79";"Takumi_Miyayoshi";"0.0680272108843537";"49";"21";"160";"0.255047821466525";"4";"3";"0.504774305555556";"47.2833333333333";"7.5";"19.6875";"5.54166666666667";"42.7591012390425";"5.36322518613223";"74.2153697768266";"7.76745346515403";"0";"0";1
"80";"The_Unifics";"0.075";"25";"7";"45";"0.186885245901639";"1";"4";"0.486111111111111";"0";"2";"0.75";"2.66666666666667";"2.17195564051106";"1.92617364937231";NA;NA;"0";"0";1
"81";"Vangelis_Kazan";"0.114035087719298";"19";"2";"39";"0.248780487804878";"4";"4";"0.49537037037037";"0";"2.5";"0.888888888888889";"3.16666666666667";"3.06572875683051";"3.07264974746362";"0";"1.29099444873581";"0";"0";1
"82";"Walter_de_Hereford";"0.19047619047619";"7";"0";"8";"0.315789473684211";"4";"0";"0.361111111111111";"0";"1.5";"0";"1.66666666666667";"0";"0.516397779494322";"0";"0.577350269189626";"0";"0";1
"83";"Zero_Waste_SA";"0.166666666666667";"9";"1";"12";"0.333333333333333";"1";"1";"0.3046875";"0";"1";"0.25";"2.125";"0.377964473009227";"1.1259916264596";NA;NA;"0";"0";1
"84";"Zitong_County";"0.0904761904761905";"21";"1";"38";"0.13953488372093";"3";"5";"0.4825";"0";"3";"0.45";"2.7";"1.26074330623269";"1.89459063763403";"0";"2";"0";"0";1
