"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"1141";"50.0.90.147";"1";"anonyme";"10";"2014"
"1143";"104.33.21.131";"1";"anonyme";"6";"2014"
"1150";"70.117.87.108";"1";"anonyme";"2";"2014"
"1162";"St170e";"0";"inscrit";"9946";"2013"
"1173";"Adamdaley";"0";"inscrit";"40128";"2006"
"1174";"Lysozym";"0";"inscrit";"1930";"2011"
"1177";"110.93.203.167";"1";"anonyme";"7";"2014"
"1178";"2604:2000:C6AC:C800:223:12FF:FE20:7BC7";"1";"anonyme";"56";"2014"
"1181";"108.168.98.61";"1";"anonyme";"1";"2015"
"1183";"KasparBot";"0";"bot";"1548471";"2015"
"1184";"81.213.43.175";"1";"anonyme";"13";"2015"
"1185";"Hosseiniran";"0";"inscrit";"890";"2011"
"1186";"MuhannadDarwish";"0";"inscrit";"612";"2010"
"1188";"Wikimandia";"0";"inscrit";"43888";"2006"
"1194";"Djauhari136";"0";"inscrit";"412";"2015"
"1196";"Mazandar";"0";"inscrit";"3312";"2011"
"1204";"JJMC89";"0";"inscrit";"73593";"2015"
"1215";"194.83.172.4";"1";"anonyme";"42";"2013"
"1218";"DVdm";"0";"inscrit";"107159";"2005"
"1223";"66.75.37.152";"1";"anonyme";"10";"2016"
"1224";"Yabukasigi";"0";"inscrit";"72";"2016"
"1227";"89.249.220.167";"1";"anonyme";"11";"2016"
"1232";"WNYY98";"0";"inscrit";"13441";"2011"
"1241";"2607:FEA8:4D1F:FCBE:FDF0:B672:E79F:D057";"1";"anonyme";"1";"2016"
"1243";"Ehsanvatan";"0";"inscrit";"57";"2012"
"1244";"2601:40D:200:3A0:6CFC:D70A:DE36:D1E5";"1";"anonyme";"3";"2017"
"1245";"2A02:C7D:2299:2200:7098:378A:7308:289D";"1";"anonyme";"1";"2017"
"1246";"SBader";"0";"inscrit";"59";"2005"
"1247";"78.183.74.171";"1";"anonyme";"1";"2017"
"1249";"Keivan.f";"0";"inscrit";"26585";"2011"
"1251";"83.79.208.224";"1";"anonyme";"5";"2017"
"1255";"39.36.32.161";"1";"anonyme";"3";"2017"
"1256";"Magic_links_bot";"0";"bot";"246570";"2017"
"1258";"Apparition11";"0";"inscrit";"52489";"2007"
"1259";"LouisAragon";"0";"inscrit";"31342";"2013"
"1260";"Erasmussen";"0";"inscrit";"10997";"2006"
"1261";"Detroiterbot";"0";"bot";"126164";"2007"
"1263";"D6";"0";"inscrit";"393081";"2004"
"1265";"Lightmouse";"0";"inscrit";"148333";"2007"
"1268";"24.62.49.140";"1";"anonyme";"5";"2009"
"1272";"Hmains";"0";"inscrit";"898721";"2005"
"1274";"98.110.211.97";"1";"anonyme";"1";"2010"
"1276";"MartinHansV";"0";"inscrit";"2708";"2007"
"1277";"108.20.197.135";"1";"anonyme";"3";"2012"
"1280";"Faolin42";"0";"inscrit";"23608";"2010"
"1282";"Od_Mishehu_AWB";"0";"inscrit";"110750";"2007"
"1290";"Jajhill";"0";"inscrit";"10351";"2005"
"1291";"Kevmin";"0";"inscrit";"26733";"2006"
"1292";"Plantdrew";"0";"inscrit";"228907";"2011"
"1293";"SausageRoll101";"0";"inscrit";"899";"2016"
"1297";"Dr._Blofeld";"0";"inscrit";"597345";"2006"
"1298";"Dawynn";"0";"inscrit";"237617";"2008"
"1302";"Tonton_Bernardo";"0";"inscrit";"9311";"2011"
"1307";"Caftaric";"0";"inscrit";"57805";"2015"
"1309";"Leesw616";"0";"inscrit";"18554";"2008"
"1310";"Nitsansh";"0";"inscrit";"34501";"2005"
"1314";"Arielslytherin";"0";"inscrit";"8152";"2014"
"1316";"Lgcsmasamiya";"0";"inscrit";"9372";"2012"
"1317";"FrankDev";"0";"inscrit";"1834";"2009"
"1321";"JackieBot";"0";"bot";"53084";"2008"
"1325";"BG19bot";"0";"bot";"1005055";"2011"
"1328";"Cattus";"0";"inscrit";"95539";"2005"
"1330";"Oceanh";"0";"inscrit";"39729";"2005"
"1331";"GoingBatty";"0";"inscrit";"327363";"2010"
"1332";"Waacstats";"0";"inscrit";"1203047";"2006"
