"";"X";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"140";405;"D6";0;"inscrit";393081;2004
"141";407;"Lightmouse";0;"inscrit";148333;2007
"142";410;"24.62.49.140";1;"anonyme";5;2009
"143";414;"Hmains";0;"inscrit";899059;2005
"144";416;"98.110.211.97";1;"anonyme";1;2010
"145";418;"MartinHansV";0;"inscrit";2708;2007
"146";419;"108.20.197.135";1;"anonyme";3;2012
"147";421;"BattyBot";0;"bot";963059;2011
"148";422;"Faolin42";0;"inscrit";23617;2010
"149";424;"Od_Mishehu_AWB";0;"inscrit";110764;2007
"150";432;"Jajhill";0;"inscrit";10354;2005
"151";433;"Kevmin";0;"inscrit";26739;2006
"152";434;"Plantdrew";0;"inscrit";229116;2011
"153";435;"SausageRoll101";0;"inscrit";899;2016
"154";437;"The_Rambling_Man";0;"admin";180265;2005
"155";439;"Dr._Blofeld";0;"inscrit";597345;2006
"156";440;"Dawynn";0;"inscrit";237964;2008
"157";442;"EmausBot";0;"bot";1673447;2009
"158";444;"Tonton_Bernardo";0;"inscrit";9311;2011
"159";449;"Caftaric";0;"inscrit";57827;2015
"160";451;"Leesw616";0;"inscrit";18554;2008
"161";452;"Nitsansh";0;"inscrit";34501;2005
"162";456;"Arielslytherin";0;"inscrit";8155;2014
"163";458;"Lgcsmasamiya";0;"inscrit";9372;2012
"164";459;"FrankDev";0;"inscrit";1834;2009
"165";463;"JackieBot";0;"bot";53084;2008
"166";467;"BG19bot";0;"bot";1005055;2011
"167";470;"Cattus";0;"inscrit";95567;2005
"168";472;"Oceanh";0;"inscrit";39739;2005
"169";473;"GoingBatty";0;"inscrit";327373;2010
"170";474;"Waacstats";0;"inscrit";1203047;2006
"171";475;"KasparBot";0;"bot";1548473;2015
"172";479;"Zyxw";0;"inscrit";216822;2005
"173";482;"Poccil";0;"inscrit";21606;2004
"174";483;"Think_outside_the_box";0;"inscrit";4453;2006
"175";485;"Drutt";0;"inscrit";7650;2007
"176";486;"69.130.193.49";1;"anonyme";24;2009
"177";487;"ABC1356msep1";0;"inscrit";2378;2010
"178";488;"Logical_Fuzz";0;"inscrit";19977;2009
"179";490;"QuasyBoy";0;"inscrit";106326;2006
"180";495;"Hydrargyrum";0;"inscrit";36700;2005
"181";496;"24.47.32.192";1;"anonyme";424;2013
"182";497;"Categlory";0;"inscrit";601;2014
"183";498;"Zombie433";0;"inscrit";87593;2007
"184";499;"Jeff3000";0;"inscrit";44949;2005
"185";501;"98.218.113.186";1;"anonyme";5;2009
"186";502;"DefaultsortBot";0;"inscrit";48995;2009
"187";503;"Tim1357";0;"inscrit";69622;2009
"188";509;"41.211.0.127";1;"anonyme";38;2009
"189";512;"41.218.217.118";1;"anonyme";1;2009
"190";517;"Embele";0;"inscrit";7158;2006
"191";520;"41.218.214.196";1;"anonyme";3;2009
"192";522;"41.218.229.98";1;"anonyme";1;2010
"193";531;"Wrwr1";0;"inscrit";818;2010
"194";535;"RjwilmsiBot";0;"bot";1602950;2009
"195";536;"79.213.90.114";1;"anonyme";84;2010
"196";541;"Petan-Bot";0;"bot";40696;2011
"197";545;"SporkBot";0;"bot";874506;2010
"198";548;"Jaysuc";0;"inscrit";32644;2011
"199";555;"BrownHairedGirl";0;"admin";721544;2006
"200";557;"GiantSnowman";0;"admin";250155;2006
"201";561;"GreenC_bot";0;"bot";534930;2016
"202";566;"Nathan_wang";0;"inscrit";9;2008
"203";567;"Stepshep";0;"inscrit";25234;2007
"204";572;"Gail";0;"inscrit";18235;2008
"205";577;"The_Anomebot2";0;"bot";950735;2006
"206";579;"Crusoe8181";0;"inscrit";84633;2009
"207";581;"Mattinbgn";0;"admin";53119;2006
"208";584;"Bidgee";0;"inscrit";50194;2005
"209";585;"Kirananils";0;"inscrit";6315;2011
"210";588;"AussieLegend2";0;"inscrit";35431;2008
"211";593;"Gronk_Oz";0;"inscrit";17494;2014
"212";595;"Melburnian";0;"admin";32602;2005
"213";596;"Ricardo_Carneiro_Pires";0;"inscrit";19724;2005
"214";598;"EncycloPetey";0;"admin";31101;2005
"215";600;"Eubot";0;"inscrit";259670;2005
"216";601;"217.232.96.202";1;"anonyme";8;2008
"217";602;"Hesperian";0;"admin";135052;2004
"218";606;"Jaguarlaser";0;"inscrit";11082;2007
"219";607;"AssegaiAli";0;"inscrit";1464;2007
"220";610;"LilHelpa";0;"inscrit";346297;2008
"221";612;"59.154.164.18";1;"anonyme";14;2008
"222";616;"Tide_rolls";0;"admin";212881;2008
"223";620;"Flakinho";0;"inscrit";27466;2008
"224";624;"Rcsprinter123";0;"inscrit";67134;2010
"225";625;"Aliwal2012";0;"inscrit";11677;2012
"226";635;"SP-KP";0;"inscrit";31538;2005
"227";636;"Grutness";0;"admin";223475;2004
"228";638;"Barticus88";0;"inscrit";33017;2006
"229";641;"Andy_F";0;"inscrit";3867;2004
"230";644;"67.170.26.43";1;"anonyme";1396;2008
"231";645;"Erik9bot";0;"inscrit";439480;2009
"232";646;"SmackBot";0;"inscrit";3734324;2005
"233";648;"Zorrobot";0;"inscrit";142590;2008
"234";649;"Choess";0;"admin";63877;2005
"235";651;"Bodrugan";0;"inscrit";2061;2009
"236";654;"Arb";0;"inscrit";15965;2006
"237";655;"Johnsoniensis";0;"inscrit";131539;2014
"238";662;"Stuartyeates";0;"inscrit";53706;2004
"239";666;"Ghouston";0;"inscrit";1044;2003
"240";669;"Carlossuarez46";0;"admin";473975;2003
"241";674;"JustAGal";0;"inscrit";172786;2006
"242";675;"Gasheadsteve";0;"inscrit";9085;2006
"243";676;"68.98.139.9";1;"anonyme";371;2007
"244";677;"PTSE";0;"inscrit";8157;2005
"245";681;"Mukkakukaku";0;"inscrit";18669;2005
"246";682;"64.105.126.218";1;"anonyme";9;2008
"247";684;"Alansohn";0;"inscrit";433140;2005
"248";689;"Raymondwinn";0;"inscrit";8611;2007
"249";690;"Aavindraa";0;"inscrit";1218;2010
"250";693;"TRBP";0;"inscrit";12333;2009
"251";695;"Raymie";0;"inscrit";23494;2005
"252";696;"Simple_Bob";0;"inscrit";15029;2009
"253";701;"Mordemur";0;"inscrit";681;2004
"254";702;"Vanished_user_5zariu3jisj0j4irj";0;"inscrit";36325;2003
"255";704;"Somebody_in_the_WWW";0;"inscrit";2635;2004
"256";706;"Tirin";0;"inscrit";4243;2004
"257";710;"JdforresterBot";0;"inscrit";13077;2005
"258";712;"Pfctdayelise";0;"inscrit";3998;2005
"259";713;"Pengo";0;"admin";19112;2003
"260";714;"Sheeppyramids";0;"inscrit";2;2006
"261";718;"Redeagle688";0;"inscrit";6427;2006
"262";719;"Longhair";0;"admin";139816;2004
"263";722;"Stickyweb";0;"inscrit";21;2006
"264";723;"Steven_Walling";0;"admin";45596;2006
"265";726;"121.44.219.5";1;"anonyme";3;2009
"266";730;"118.208.142.42";1;"anonyme";2;2009
"267";732;"220.253.21.10";1;"anonyme";11;2006
"268";734;"JamesAM";0;"inscrit";49799;2006
"269";737;"Cuddy_Wifter";0;"inscrit";25985;2006
"270";740;"118.209.131.203";1;"anonyme";1;2010
"271";743;"Billingd";0;"inscrit";5603;2010
"272";745;"118.209.11.59";1;"anonyme";1;2011
"273";746;"118.209.93.173";1;"anonyme";1;2011
"274";747;"118.209.23.193";1;"anonyme";1;2011
"275";748;"118.209.234.101";1;"anonyme";7;2011
"276";753;"Jllm06";0;"inscrit";449675;2006
"277";755;"118.209.50.221";1;"anonyme";7;2010
"278";757;"Rjwilmsi";0;"inscrit";863750;2005
"279";760;"122.107.199.212";1;"anonyme";3;2013
"280";761;"ClueBot_NG";0;"bot";4573721;2010
"281";762;"Horseygal_mega";0;"inscrit";1;2014
"282";763;"124.170.10.196";1;"anonyme";1;2014
"283";766;"113.37.135.116";1;"anonyme";7;2015
"284";771;"Triptothecottage";0;"inscrit";3072;2016
"285";773;"MilborneOne";0;"admin";107891;2006
"286";774;"GimmeBot";0;"bot";75273;2007
"287";781;"The_Bushranger";0;"admin";135769;2008
"288";785;"Mr.Television";0;"inscrit";3226;2006
"289";786;"Markhurd";0;"inscrit";11540;2003
"290";788;"124.176.242.165";1;"anonyme";1;2010
"291";794;"220.101.137.173";1;"anonyme";1;2010
"292";796;"60.230.183.87";1;"anonyme";4;2010
"293";800;"109.154.228.164";1;"anonyme";1;2010
"294";802;"Jdenm8";0;"inscrit";56;2007
"295";804;"Shoof95";0;"inscrit";2320;2010
"296";805;"79.85.211.186";1;"anonyme";1;2010
"297";810;"203.208.67.34";1;"anonyme";44;2009
"298";813;"121.212.238.116";1;"anonyme";16;2009
"299";816;"Cody99090";0;"inscrit";5;2010
"300";820;"NE_Ent";0;"inscrit";20192;2006
"301";824;"Not_Just_Magic:_The_Movie";0;"inscrit";5;2010
"302";828;"Aatulloch";0;"inscrit";7;2006
"303";831;"Peachey88";0;"inscrit";5044;2006
"304";833;"Jake_Seinfeild_Official";0;"inscrit";4;2010
"305";844;"77.99.188.253";1;"anonyme";93;2010
"306";849;"114.77.225.246";1;"anonyme";6;2010
"307";852;"Mojo_Hand";0;"admin";68880;2006
"308";855;"121.45.8.49";1;"anonyme";21;2010
"309";865;"118.210.101.244";1;"anonyme";16;2010
"310";868;"118.210.93.34";1;"anonyme";28;2010
"311";870;"121.210.1.150";1;"anonyme";2;2010
"312";872;"118.210.69.142";1;"anonyme";86;2010
"313";874;"H3llBot";0;"bot";134512;2010
"314";875;"220.253.247.167";1;"anonyme";1;2010
"315";876;"VictorianMutant";0;"inscrit";4778;2010
"316";877;"Leahmaree1992";0;"inscrit";4;2010
"317";880;"120.146.131.26";1;"anonyme";4;2010
"318";886;"Roxxannee";0;"inscrit";42;2010
"319";887;"120.19.3.101";1;"anonyme";1;2010
"320";889;"122.107.175.135";1;"anonyme";2348;2010
"321";893;"118.210.139.79";1;"anonyme";39;2010
"322";894;"121.216.60.109";1;"anonyme";6;2010
"323";898;"Connor5612";0;"inscrit";423;2008
"324";904;"202.59.23.86";1;"anonyme";27;2009
"325";905;"114.78.104.31";1;"anonyme";3;2010
"326";909;"123.243.78.194";1;"anonyme";123;2007
"327";911;"124.171.176.245";1;"anonyme";7;2007
"328";913;"211.30.134.11";1;"anonyme";1;2010
"329";914;"Boing!_said_Zebedee";0;"admin";76323;2007
"330";920;"132.199.231.183";1;"anonyme";2;2010
"331";923;"90.208.194.135";1;"anonyme";8;2010
"332";924;"139.168.78.4";1;"anonyme";4;2010
"333";929;"Brookie";0;"admin";38579;2005
"334";948;"118.210.182.249";1;"anonyme";43;2010
"335";955;"189.202.29.165";1;"anonyme";359;2010
"336";960;"61.69.196.177";1;"anonyme";2;2010
"337";968;"58.166.94.160";1;"anonyme";10;2010
"338";1006;"94.1.250.201";1;"anonyme";1;2011
"339";1008;"Ianblair23";0;"admin";86099;2004
"340";1023;"121.45.85.150";1;"anonyme";17;2009
"341";1040;"124.184.229.144";1;"anonyme";2;2011
"342";1042;"JHunterJ";0;"admin";69217;2006
"343";1044;"202.46.136.16";1;"anonyme";17;2009
"344";1045;"165.69.2.2";1;"anonyme";262;2009
"345";1048;"109.108.207.209";1;"anonyme";53;2011
"346";1050;"Themeparkgc";0;"inscrit";35689;2009
"347";1054;"121.218.179.129";1;"anonyme";7;2008
"348";1057;"114.78.101.239";1;"anonyme";1;2011
"349";1062;"203.18.241.193";1;"anonyme";86;2006
"350";1063;"122.106.86.113";1;"anonyme";107;2010
"351";1064;"Allied45";0;"inscrit";17187;2006
"352";1065;"Billy_Liakopoulos";0;"inscrit";20494;2011
"353";1070;"Klemen_Kocjancic";0;"inscrit";133123;2004
"354";1072;"Matthewedwards";0;"admin";26769;2007
"355";1073;"John";0;"admin";190800;2006
"356";1075;"60.229.13.55";1;"anonyme";5;2012
"357";1076;"Chris_the_speller";0;"inscrit";412438;2005
"358";1080;"ChrisGualtieri";0;"inscrit";457369;2012
"359";1083;"Dl2000";0;"inscrit";416233;2006
"360";1087;"Josve05a";0;"inscrit";103447;2010
"361";1091;"110.32.98.191";1;"anonyme";3;2015
"362";1092;"Capitalismojo";0;"inscrit";15058;2007
"363";1093;"101.191.168.119";1;"anonyme";6;2015
"364";1095;"Cyberbot_II";0;"bot";453736;2012
"365";1101;"TAnthony";0;"inscrit";348854;2006
"366";1103;"EvergreenFir";0;"inscrit";74884;2013
"367";1108;"PrimeBOT";0;"bot";198314;2016
"368";1111;"Wilhelmina_Will";0;"inscrit";300655;2007
"369";1112;"Ruigeroeland";0;"inscrit";278893;2006
"370";1113;"Oculi";0;"inscrit";103004;2007
"371";1115;"William_Avery";0;"inscrit";249937;2002
"372";1118;"Micromesistius";0;"inscrit";18576;2009
"373";1120;"KConWiki";0;"inscrit";109193;2006
"374";1121;"96.231.137.242";1;"anonyme";1294;2009
"375";1123;"Syrinxanth";0;"inscrit";147;2009
"376";1124;"24.136.253.60";1;"anonyme";179;2009
"377";1126;"69.77.183.2";1;"anonyme";56;2009
"378";1127;"Stacyjj";0;"inscrit";63;2010
"379";1128;"MrOllie";0;"inscrit";61545;2008
"380";1129;"KCTS9Marcom";0;"inscrit";36;2010
"381";1133;"76.178.147.116";1;"anonyme";97;2010
"382";1134;"68.239.28.121";1;"anonyme";1;2011
"383";1135;"76.64.139.177";1;"anonyme";344;2011
"384";1136;"129.44.51.127";1;"anonyme";6;2011
"385";1143;"VIAFbot";0;"bot";254678;2012
"386";1146;"Fortdj33";0;"inscrit";380397;2009
"387";1149;"Masterknighted";0;"inscrit";46322;2009
"388";1152;"Shawn_in_Montreal";0;"inscrit";152879;2006
"389";1156;"24.148.90.193";1;"anonyme";1;2016
"390";1160;"2001:558:6001:6:3800:66D5:3C4C:883B";1;"anonyme";106;2016
"391";1161;"Adavidb";0;"inscrit";44052;2006
"392";1162;"140.247.117.159";1;"anonyme";2;2017
"393";1165;"73.81.122.85";1;"anonyme";2;2017
"394";1166;"PackMecEng";0;"inscrit";2212;2016
"395";1168;"Nikolaiho";0;"inscrit";2937;2014
"396";1170;"XerxesFalcon";0;"inscrit";1680;2016
"397";1171;"Wgolf";0;"inscrit";123078;2011
"398";1172;"Cmr08";0;"inscrit";71387;2008
"399";1174;"Mintz_l";0;"inscrit";293;2006
"400";1178;"Dexbot";0;"bot";156973;2012
"401";1180;"140.203.12.5";1;"anonyme";308;2010
"402";1182;"Rathfelder";0;"inscrit";99020;2005
"403";1183;"Myasuda";0;"inscrit";42161;2006
"404";1185;"202.88.237.49";1;"anonyme";2;2015
"405";1186;"Akivarma";0;"inscrit";2;2015
"406";1188;"Izno";0;"inscrit";26851;2006
"407";1193;"128.97.83.171";1;"anonyme";2;2013
"408";1194;"Rememberlands";0;"inscrit";481;2007
"409";1201;"Isambard_Kingdom";0;"inscrit";13730;2014
"410";1206;"Heckledpie";0;"inscrit";49;2007
"411";1209;"Prajaman";0;"inscrit";2031;2017
"412";1210;"132.180.92.58";1;"anonyme";13;2015
"413";1211;"Rajasekhar1961";0;"inscrit";37946;2006
"414";1215;"117.195.226.77";1;"anonyme";2;2010
"415";1216;"JaGa";0;"admin";97583;2006
"416";1218;"R'n'B";0;"admin";354974;2006
"417";1220;"124.123.66.55";1;"anonyme";11;2012
"418";1222;"67.83.155.1";1;"anonyme";1;2012
"419";1224;"Gongshow";0;"inscrit";34901;2008
"420";1225;"Nandhakishore";0;"inscrit";328;2012
"421";1227;"Aspects";0;"inscrit";212914;2007
"422";1229;"194.80.235.252";1;"anonyme";23;2013
"423";1231;"Bender235";0;"inscrit";435453;2004
"424";1233;"108.238.241.76";1;"anonyme";3;2014
"425";1235;"175.101.144.62";1;"anonyme";15;2014
"426";1236;"RajtheEmperor";0;"inscrit";2950;2013
"427";1240;"Sugram";0;"inscrit";4949;2011
"428";1242;"124.123.211.29";1;"anonyme";4;2015
"429";1249;"Bgwhite";0;"admin";546893;2005
"430";1251;"Sajeeth100";0;"inscrit";1070;2015
"431";1253;"EmperoroftheKings";0;"inscrit";1665;2015
"432";1261;"Rkolluri9";0;"inscrit";2;2015
"433";1262;"A031657kvs";0;"inscrit";46;2012
"434";1264;"128.91.19.17";1;"anonyme";1;2016
"435";1271;"B.Bhargava_Teja";0;"inscrit";13894;2015
"436";1284;"Psychonaut";0;"inscrit";31340;2004
"437";1285;"Sheynhertz-Unbayg";0;"inscrit";20460;2004
"438";1286;"Tewfik";0;"inscrit";15543;2005
"439";1287;"Dogcow";0;"inscrit";2400;2005
"440";1290;"Nono64";0;"inscrit";96246;2006
"441";1291;"Ken_Gallager";0;"inscrit";116100;2006
"442";1292;"77.183.226.230";1;"anonyme";3;2007
"443";1293;"79.177.242.249";1;"anonyme";1;2008
"444";1294;"SieBot";0;"inscrit";421891;2007
"445";1296;"Ary29";0;"inscrit";26818;2004
"446";1297;"Sheled_Umlal";0;"inscrit";1176;2007
"447";1300;"HerculeBot";0;"inscrit";9923;2008
"448";1301;"176.195.212.31";1;"anonyme";1;2012
"449";1302;"VolkovBot";0;"inscrit";447718;2006
"450";1303;"Chobot";0;"bot";167630;2005
"451";1312;"Werldwayd";0;"inscrit";258182;2007
"452";1313;"BD2412";0;"admin";1085493;2005
"453";1314;"Dmitri_Lytov";0;"inscrit";6540;2006
"454";1315;"Arminden";0;"inscrit";10958;2011
"455";1320;"Bkonrad";0;"admin";153219;2004
"456";1326;"Demonax";0;"inscrit";542;2015
"457";1328;"Tryde";0;"inscrit";36681;2006
"458";1331;"Jerry";0;"admin";19297;2006
"459";1332;"Epistemos";0;"inscrit";11055;2006
"460";1334;"HarryHenryGebel";0;"inscrit";5323;2003
"461";1336;"58.166.136.24";1;"anonyme";3;2010
"462";1340;"YellowMonkey";0;"admin";86443;2005
"463";1345;"Orderinchaos";0;"admin";69106;2006
"464";1346;"Orderinchaos_2";0;"inscrit";22149;2007
"465";1348;"121.220.77.20";1;"anonyme";5;2011
"466";1351;"SeoMac";0;"inscrit";5332;2009
"467";1353;"Alpha_4615";0;"inscrit";3860;2005
"468";1354;"Qetuth";0;"inscrit";26901;2011
"469";1356;"Shiftchange";0;"inscrit";35583;2004
"470";1359;"121.223.48.141";1;"anonyme";2;2015
"471";1364;"124.148.184.115";1;"anonyme";1;2016
"472";1367;"Clairespark123";0;"inscrit";7;2016
"473";1373;"Bugboy52.40";0;"inscrit";19058;2008
"474";1375;"Heds";0;"inscrit";8934;2007
"475";1380;"Fingerlickin";0;"inscrit";16;2007
"476";1381;"Khukri";0;"admin";13197;2005
"477";1387;"SiobhanHansa";0;"inscrit";22660;2006
"478";1390;"Wickethewok";0;"admin";16424;2006
"479";1391;"217.35.85.80";1;"anonyme";1;2007
"480";1394;"66.65.21.121";1;"anonyme";5;2008
"481";1395;"98.203.252.255";1;"anonyme";1294;2008
"482";1397;"Bearcat";0;"admin";921284;2003
"483";1399;"Lashuto";0;"inscrit";2235;2011
"484";1405;"82.38.237.249";1;"anonyme";1;2011
"485";1407;"86.190.193.123";1;"anonyme";1;2012
"486";1409;"HenryLi";0;"inscrit";18045;2004
"487";1410;"RobotG";0;"inscrit";86515;2006
"488";1412;"218.102.200.124";1;"anonyme";1;2006
"489";1414;"Ahoerstemeier";0;"admin";110256;2003
"490";1417;"JL-Bot";0;"bot";175691;2007
"491";1419;"Underwaterbuffalo";0;"inscrit";21360;2008
"492";1423;"Jrleighton";0;"inscrit";3144;2004
"493";1424;"Michaela_den";0;"inscrit";15880;2010
"494";1429;"Degen_Earthfast";0;"inscrit";16365;2009
"495";1434;"Dthomsen8";0;"inscrit";340315;2008
"496";1436;"Davidcannon";0;"admin";99384;2004
"497";1441;"PulpSpy";0;"inscrit";243;2005
"498";1442;"GurchBot";0;"inscrit";7421;2006
"499";1444;"MarshBot";0;"inscrit";50214;2006
"500";1445;"Skumarlabot";0;"inscrit";4583;2006
"501";1448;"Floppyness";0;"inscrit";23;2007
"502";1450;"Calidore_Chase";0;"inscrit";392;2006
"503";1455;"172.131.225.157";1;"anonyme";46;2007
"504";1456;"Malcolma";0;"inscrit";144889;2005
"505";1458;"192.175.182.25";1;"anonyme";181;2005
"506";1459;"71.32.93.8";1;"anonyme";4;2007
"507";1460;"Ameliorate!";0;"admin";15050;2006
