"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"2940";"204.39.95.9";"1";"anonyme";"237";"2005"
"2972";"212.219.248.236";"1";"anonyme";"374";"2003"
"3063";"195.194.63.254";"1";"anonyme";"367";"2006"
"3147";"209.221.91.5";"1";"anonyme";"54";"2006"
"3151";"RobertG";"0";"admin";"35090";"2005"
"3161";"Cam";"0";"inscrit";"3753";"2004"
"3163";"216.253.195.14";"1";"anonyme";"20";"2005"
"3170";"216.221.84.226";"1";"anonyme";"155";"2006"
"3264";"216.135.84.188";"1";"anonyme";"118";"2005"
"3266";"Magister_Mathematicae";"0";"admin";"27548";"2005"
"3268";"213.84.242.160";"1";"anonyme";"8";"2004"
"3270";"209.232.116.101";"1";"anonyme";"199";"2005"
"3364";"12.155.52.21";"1";"anonyme";"256";"2005"
"3366";"155.247.166.28";"1";"anonyme";"1096";"2005"
"3371";"Aude";"0";"admin";"39964";"2004"
"3376";"143.239.192.108";"1";"anonyme";"5";"2006"
"3377";"12.39.253.22";"1";"anonyme";"3";"2006"
"3379";"82.32.27.217";"1";"anonyme";"3";"2006"
"3381";"Michael_Hardy";"0";"admin";"192724";"2002"
"3383";"156.63.85.17";"1";"anonyme";"299";"2004"
"3385";"65.115.204.3";"1";"anonyme";"419";"2004"
"3395";"143.166.255.16";"1";"anonyme";"113";"2003"
"3491";"192.189.236.20";"1";"anonyme";"250";"2004"
"3493";"Jiy";"0";"inscrit";"3764";"2004"
"3495";"216.21.35.34";"1";"anonyme";"38";"2006"
"3553";"APRCooper";"0";"inscrit";"127";"2005"
"3555";"195.92.168.164";"1";"anonyme";"1907";"2002"
"3559";"No_Guru";"0";"admin";"15904";"2004"
"3573";"Iliev";"0";"inscrit";"721";"2006"
"3584";"168.99.91.146";"1";"anonyme";"355";"2003"
"3588";"152.163.100.131";"1";"anonyme";"1679";"2004"
"3590";"Bogdangiusca";"0";"admin";"39780";"2003"
"3592";"70.88.115.3";"1";"anonyme";"186";"2006"
"3712";"MisfitToys";"0";"admin";"48578";"2004"
"3716";"212.158.242.133";"1";"anonyme";"22";"2006"
"3794";"Rory096";"0";"inscrit";"27280";"2006"
"3832";"Nakon";"0";"admin";"62807";"2005"
"3870";"68.68.243.239";"1";"anonyme";"69";"2006"
"3871";"Suicidalhamster";"0";"inscrit";"3833";"2005"
"3872";"RetiredUser2";"0";"inscrit";"24119";"2004"
"3886";"Laurascudder";"0";"admin";"8132";"2004"
"3889";"Cornellian6";"0";"inscrit";"3337";"2006"
"3890";"Chicheley";"0";"inscrit";"11187";"2006"
"3891";"Cydebot";"0";"admin";"5925317";"2006"
"3893";"NERIUM";"0";"inscrit";"1680";"2006"
"3894";"86.82.104.236";"1";"anonyme";"33";"2006"
"3902";"Qp10qp";"0";"inscrit";"24041";"2006"
"3907";"OrphanBot";"0";"inscrit";"654820";"2005"
"3910";"Panarjedde";"0";"inscrit";"3432";"2006"
"3914";"63.192.177.198";"1";"anonyme";"122";"2005"
"3959";"AntiVandalBot";"0";"inscrit";"258750";"2006"
"4041";"Glen";"0";"admin";"20374";"2006"
"4081";"63.3.16.1";"1";"anonyme";"599";"2006"
"4087";"Neddyseagoon";"0";"inscrit";"139074";"2006"
"4088";"Thijs!bot";"0";"inscrit";"470128";"2006"
"4089";"Chochopk";"0";"admin";"24485";"2005"
"4091";"G.dallorto";"0";"inscrit";"1294";"2005"
"4100";"91.127.111.109";"1";"anonyme";"30";"2007"
"4101";"129.81.110.190";"1";"anonyme";"12";"2007"
"4102";"Brighterorange";"0";"admin";"12972";"2005"
"4109";"Danny";"0";"admin";"41414";"2002"
