"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"ninitialized";"nresponded";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured"
"24";"Gambling";"0.00260061919504644";"476";"153";"588";"0.0170753064798599";"19";"5";"0.0533008310249307";"0";"1.21052631578947";"430.628125";"3.1875";"1052.29680264529";"4.982964710298";"0";"0.917662935482247";"40";"5.09863945578231";"7.08385871992263";"0.264791088911021";"95";"47";"82";"95";"2.7516339869281";"1.04225352112676";"0.894736842105263";"0.315789473684211";"1.15032679738562";"1.60130718954248";"0.97887323943662";"0.0633802816901408";"2.45263157894737";"1.23157894736842";"1.22105263157895";"2.21276595744681";"1.1063829787234";"1.1063829787234";"1.82926829268293";"0.951219512195122";"0.878048780487805";"1.15789473684211";"0.947368421052632";"0.210526315789474";"157";"431";"2.6810275076418";"0.262914365602179";"0.315301767642306";"1.15723000589758";"1.28129889806597";"1.47941964653038";"0.144315938831368";"0.296905762263329";"2.84630563486729";"1.23299179113199";"1.71463628900809";"1.58712441928608";"0.758546738498417";"0.960842984801944";"2.03551721245292";"0.941530655852941";"1.28994443274367";"0.704329913534605";"0.337967046506129";"0.682528728132116";"0";"0"
"25";"Glenn_Beck";"0.0104485219164118";"109";"48";"123";"0.0134529147982063";"2";"0";"0.101594650205761";"0";"1";"18.4347826086957";"2.98550724637681";"29.7640121528893";"3.74359356148917";"0";"0";"16";"2.69105691056911";"3.40233786860513";"0.158366550015198";"26";"16";"14";"13";"1.77083333333333";"1";"1";"0";"0.833333333333333";"0.9375";"1";"0";"2";"1.07692307692308";"0.923076923076923";"1.375";"0.8125";"0.5625";"1.21428571428571";"0.571428571428571";"0.642857142857143";"1.15384615384615";"0.923076923076923";"0.230769230769231";"40";"83";"2.52004376298823";"0";"0";"0";"0.807763746093835";"1.89519268654903";"0";"0";"3.40587727318528";"0.934797386520819";"2.57562539082184";"0.5";"0.403112887414928";"0.51234753829798";"0.42581531362632";"0.513552591013095";"0.633323693776651";"0.375533808099405";"0.277350098112615";"0.438529009653515";"0";"0"
"26";"Golda_Meir";"0.00486431131592422";"280";"97";"380";"0.0279255319148936";"11";"3";"0.13720275947123";"34";"1.18181818181818";"1356.63725490196";"3.35294117647059";"2269.15779369657";"6.37289064312515";"75.6452245683758";"0.404519917477945";"30";"5.24473684210526";"6.01893219644867";"0.478889296652038";"47";"30";"41";"86";"2.90721649484536";"2.08602150537634";"1";"0.181818181818182";"1.28865979381443";"1.61855670103093";"1.25806451612903";"0.827956989247312";"2.82978723404255";"1.34042553191489";"1.48936170212766";"2.36666666666667";"1.1";"1.26666666666667";"2.26829268292683";"1.09756097560976";"1.17073170731707";"2.26744186046512";"1.32558139534884";"0.941860465116279";"76";"304";"2.39827400708477";"8.09005819560207";"0";"0.404519917477945";"1.10829037717444";"1.36506485628181";"3.45437097340158";"4.6709640935622";"3.02395615433024";"1.33963972679031";"1.81625918023991";"1.21721370161624";"0.607425318241987";"0.784915252764901";"1.88446796528758";"0.800152424503622";"1.18115280604142";"8.41207034543697";"3.5922853956618";"4.84672030082391";"0";"0"
"27";"Graeco-Armenian";"0.0276653171390014";"39";"9";"41";"0";"1";"2";"0.0931440443213296";"10";"2";"11.2142857142857";"2.53571428571429";"11.7642180104257";"1.95281644388101";NA;NA;"10";"3";"3.24037034920393";"0.0378358766590305";"8";"4";"3";"13";"1.88888888888889";"1.8125";"1";"1";"0.888888888888889";"1";"1.0625";"0.75";"1.75";"1";"0.75";"1.75";"0.75";"1";"2";"1";"1";"1.84615384615385";"1.07692307692308";"0.769230769230769";"11";"30";"0.333333333333333";"2.00727842280703";NA;NA;"0.333333333333333";"0";"0.57373048260195";"1.52752523165195";"0.707106781186548";"0";"0.707106781186548";"0.5";"0.5";"0";"0";"0";"0";"2.19264504826757";"0.640512615220349";"1.64082530828473";"0";"0"
"28";"Halliburton";"0.00271536092431615";"469";"157";"596";"0.0246768507638073";"24";"5";"0.0336812404120096";"20.2083333333333";"1.20833333333333";"2030.7696969697";"3.19090909090909";"3635.19438403467";"3.86275675503251";"98.3631157306024";"0.658005330140078";"48";"6.03691275167785";"8.5636703746006";"0.195435206530374";"110";"43";"63";"114";"3.19745222929936";"1.28472222222222";"0.916666666666667";"0.291666666666667";"1.36942675159236";"1.82802547770701";"0.965277777777778";"0.319444444444444";"2.48181818181818";"1.19090909090909";"1.29090909090909";"3.23255813953488";"1.51162790697674";"1.72093023255814";"2.28571428571429";"1.11111111111111";"1.17460317460317";"1.46491228070175";"1.00877192982456";"0.456140350877193";"139";"457";"4.01509889146958";"0.979961426702295";"0.28232985128664";"0.69025305168635";"1.79845597667805";"2.27916523165673";"0.343026318475792";"0.913402750326812";"2.37622713129088";"0.981437389474174";"1.58748230963461";"4.40690588628654";"1.90703076389469";"2.55720812601918";"2.26066341553558";"1.00179051172921";"1.37418224996497";"3.12336279112443";"1.35995584282223";"1.87267425493145";"0";"0"
"29";"Harvey_Milk";"0.0104707511249567";"108";"37";"121";"0.026431718061674";"11";"1";"0.0365970827146476";"110.636363636364";"2.18181818181818";"150.611111111111";"2.48888888888889";"153.684390911984";"1.53786985645105";"133.13547440654";"1.32801971507819";"23";"5.42148760330578";"5.54038516428191";"0.0367985398629068";"19";"8";"17";"46";"2.56756756756757";"1.85365853658537";"1";"1.18181818181818";"1.21621621621622";"1.35135135135135";"1.02439024390244";"0.829268292682927";"2.10526315789474";"1.05263157894737";"1.05263157894737";"2.875";"1.375";"1.5";"2.35294117647059";"1.11764705882353";"1.23529411764706";"2.04347826086957";"1.06521739130435";"0.978260869565217";"18";"103";"1.60797561722359";"1.55821974717554";"0.632455532033676";"0.873862897505303";"0.786523120206023";"0.856874689925099";"0.651452411080379";"1.04648074574715";"0.875261030404661";"0.404651319111256";"0.621260744197396";"2.94897076476329";"1.50594061730772";"1.51185789203691";"1.3200935795706";"0.600245047998781";"0.752446988556825";"1.56285382467289";"0.646432050671427";"1.04326688680388";"0";"0"
"30";"Hentai";"0.023265306122449";"50";"23";"57";"0.0909090909090909";"3";"0";"0.0803831736776343";"0";"1";"9.66666666666667";"2.64102564102564";"9.69897806155868";"2.04536934622653";"0";"0";"11";"3.29824561403509";"2.92138000829783";"0.278951466666833";"19";"4";"3";"13";"2.60869565217391";"1";"1";"0";"1.21739130434783";"1.39130434782609";"0.615384615384615";"0.384615384615385";"2";"0.894736842105263";"1.10526315789474";"1.75";"0.75";"1";"1.33333333333333";"0.666666666666667";"0.666666666666667";"2.07692307692308";"1.30769230769231";"0.769230769230769";"11";"46";"1.90069677259259";"0";"0";"0";"0.998021758695691";"0.940943937793929";"0.506369683541833";"0.506369683541833";"1.15470053837925";"0.65783625471062";"0.65783625471062";"0.5";"0.5";"0";"0.577350269189626";"0.577350269189626";"0.577350269189626";"2.53184841770917";"1.18213192894698";"1.42325016270543";"0";"0"
"31";"Hip_hop_culture";"0.00347379892834438";"364";"143";"459";"0.0101010101010101";"11";"1";"0.0876761605536962";"0";"1";"510.256637168142";"3.45132743362832";"1093.88505727796";"6.41386158661931";"0";"0";"32";"3.72549019607843";"5.29839140223926";"0.149608651166627";"67";"46";"51";"61";"2.25174825174825";"1";"1";"0";"1.11888111888112";"1.13286713286713";"1";"0";"1.47761194029851";"1.01492537313433";"0.462686567164179";"1.60869565217391";"0.869565217391304";"0.739130434782609";"1.90196078431373";"1";"0.901960784313726";"2.19672131147541";"1.36065573770492";"0.836065573770492";"139";"320";"4.21009606706581";"0";"0";"0";"1.91542850164726";"2.41251946569615";"0";"0";"1.29519167828227";"0.639425341282094";"0.822567271062304";"1.23788818144389";"0.54195922979804";"1.06321906614239";"1.90005159888656";"0.748331477354788";"1.38931496732432";"6.08226841491217";"2.72661442626349";"3.40186384142993";"0";"0"
"32";"Hydraulic_fracturing";"0.00444529268156913";"502";"98";"1118";"0.0314274525161543";"7";"4";"0.435544081497683";"0";"1";"986.864661654135";"7.5187969924812";"3804.61947357508";"32.3955742385503";"0";"0";"92";"8.4221824686941";"15.2250420945677";"0.502962404052714";"77";"45";"57";"86";"1.56122448979592";"1";"1";"0";"1";"0.561224489795918";"1";"0";"1.16883116883117";"0.961038961038961";"0.207792207792208";"1.26666666666667";"0.977777777777778";"0.288888888888889";"1.50877192982456";"1.08771929824561";"0.421052631578947";"1.01162790697674";"0.988372093023256";"0.0232558139534884";"237";"881";"1.75901991531843";"0";"0";"0";"0.642161299067936";"1.31655851378464";"0";"0";"0.784766096607226";"0.341881729378914";"0.694672629025666";"0.653661018627184";"0.260147588258603";"0.626034497387478";"2.08842735618339";"0.688702241133537";"1.48741588502933";"0.107832773203438";"0.107832773203438";"0.215665546406877";"0";"0"
"33";"Jim_Thorpe";"0.00453737936332645";"354";"122";"567";"0.027355623100304";"22";"1";"0.329253906218652";"0";"1.04545454545455";"657.939271255061";"4.15789473684211";"1306.82254874555";"15.3547273122776";"0";"0.21320071635561";"58";"7.58024691358025";"10.6353051264772";"0.84385462329201";"55";"31";"55";"104";"3.23770491803279";"1.46";"0.863636363636364";"0.181818181818182";"1.38524590163934";"1.85245901639344";"1.14";"0.32";"3.47272727272727";"1.74545454545455";"1.72727272727273";"2.32258064516129";"1.06451612903226";"1.25806451612903";"3";"1.32727272727273";"1.67272727272727";"1.31730769230769";"0.971153846153846";"0.346153846153846";"109";"458";"4.41457630416157";"3.17954319824326";"0.351250086657104";"0.501081082343218";"2.17972142170112";"2.28784835634101";"1.54409922745995";"1.68102902588224";"6.71332159729346";"3.27853954510565";"3.49313901842171";"2.56108176069141";"1.23654043931629";"1.41345302800114";"3.3166247903554";"1.575912968251";"1.84646354132098";"1.19273222344056";"0.598651085134435";"0.797681479722238";"0";"0"
"34";"Joe_Arpaio";"0.0030164146482894";"424";"135";"541";"0.00980885311871227";"9";"0";"0.122568169497398";"0";"1";"581.779661016949";"3.78813559322034";"1824.5792426819";"8.12911938903044";"0";"0";"22";"2.67652495378928";"3.5855656785261";"0.173484391624335";"73";"37";"57";"68";"1.51851851851852";"1";"1";"0";"0.903703703703704";"0.614814814814815";"1";"0";"1.46575342465753";"0.958904109589041";"0.506849315068493";"1.16216216216216";"0.864864864864865";"0.297297297297297";"1.24561403508772";"0.964912280701754";"0.280701754385965";"1.23529411764706";"0.955882352941177";"0.279411764705882";"189";"352";"1.58750650181699";"0";"0";"0";"0.596933383043829";"1.28123765482329";"0";"0";"1.79569076604104";"0.538474082848509";"1.48252119781765";"0.55344946138406";"0.419136822142455";"0.519875244910036";"0.950201139503518";"0.421091790159044";"0.773544392597022";"0.916151050877847";"0.402745189226547";"0.750036580904789";"0";"0"
"35";"Kid_Rock";"0.00523250523250523";"297";"114";"460";"0.0150753768844221";"9";"1";"0.145595553323594";"0";"1";"331.9";"4.27894736842105";"589.455877782088";"8.39255647446649";"0";"0";"34";"4.9695652173913";"6.32689282312429";"0.470912891404208";"39";"30";"57";"64";"4.23684210526316";"1";"1";"0";"1.87719298245614";"2.35964912280702";"1";"0";"1.76923076923077";"1.07692307692308";"0.692307692307692";"3.4";"1.53333333333333";"1.86666666666667";"5.40350877192982";"2.45614035087719";"2.94736842105263";"1.25";"0.96875";"0.28125";"107";"353";"10.1111544744756";"0";"0";"0";"4.27203367226213";"5.89303953151881";"0";"0";"2.15774661286819";"1.06089870999756";"1.23871423478766";"6.23449801645982";"2.59619527097972";"3.7114299998354";"13.425534904378";"5.62859464646688";"7.84997964654226";"0.835710894037345";"0.354953607520847";"0.653895530707593";"0";"0"
"36";"Kosovo_War";"0.020918178452425";"74";"16";"113";"0.0518518518518519";"13";"0";"0.249577781947833";"0";"1";"76.6521739130435";"4.30434782608696";"137.680906025701";"6.31002576229075";"0";"0";"11";"2.79646017699115";"2.72606234873738";"0.0666043315205172";"9";"7";"8";"22";"2.6875";"1.05882352941176";"1";"0";"1.0625";"1.625";"0.941176470588235";"0.117647058823529";"2.22222222222222";"1.22222222222222";"1";"2.85714285714286";"1.14285714285714";"1.71428571428571";"1.25";"0.75";"0.5";"1.09090909090909";"0.954545454545455";"0.136363636363636";"28";"85";"2.21265300789196";"0.242535625036333";"0";"0";"1.06262254195301";"1.25830573921179";"0.242535625036333";"0.332105582077536";"2.27913238852956";"1.092906420717";"1.3228756555323";"2.47847879612821";"0.899735410842437";"1.70433620649269";"0.462910049886276";"0.462910049886276";"0.534522483824849";"0.29424494316825";"0.21320071635561";"0.351250086657104";"0";"0"
"37";"L._Ron_Hubbard";"0.00995726840280577";"158";"61";"247";"0.0459418070444104";"10";"1";"0.217534179885594";"0";"1";"247.153153153153";"4.02702702702703";"468.871917685963";"7.31058940474142";"0";"0";"24";"4.97570850202429";"5.31750226033495";"0.459355652827822";"29";"20";"23";"39";"3.01639344262295";"1.05128205128205";"1";"0";"1.31147540983607";"1.70491803278689";"0.974358974358974";"0.0769230769230769";"2.3448275862069";"1.24137931034483";"1.10344827586207";"3.2";"1.5";"1.7";"2.47826086956522";"1.17391304347826";"1.30434782608696";"1.20512820512821";"0.923076923076923";"0.282051282051282";"47";"200";"3.16486862959949";"0.223455865030959";"0";"0";"1.58683105177749";"1.63650300228956";"0.160128153805087";"0.269952762399508";"2.39457514974645";"1.18488011490594";"1.31867973979948";"4.40812646680746";"2.13984751055328";"2.31925577899917";"2.27375470847414";"0.984062724952183";"1.45960089839952";"0.409073869245305";"0.269952762399508";"0.455880752454893";"0";"0"
"38";"Life_extension";"0.00302573859732572";"477";"109";"687";"0.0197680548234054";"18";"8";"0.116967375185368";"0";"1.16666666666667";"1108.63701067616";"4.19217081850534";"3277.08575003247";"8.96652958344068";"0";"0.707106781186548";"27";"4.17321688500728";"5.49852712728694";"0.278573492934184";"79";"46";"61";"94";"3.12844036697248";"1.09655172413793";"1";"0.166666666666667";"1.46788990825688";"1.6605504587156";"1.02758620689655";"0.0689655172413793";"2.46835443037975";"1.49367088607595";"0.974683544303797";"2.08695652173913";"1.06521739130435";"1.02173913043478";"1.86885245901639";"1.09836065573771";"0.770491803278688";"1.31914893617021";"1.07446808510638";"0.24468085106383";"197";"490";"5.35948608203628";"0.690452125734315";"0";"0.707106781186548";"2.51134023293248";"3.03748245989826";"0.202238431416391";"0.509018287351484";"5.56968774855093";"2.64028658954113";"2.97413932193235";"3.25116107093739";"1.45146935380123";"2.06008770508855";"2.3485840403391";"0.700117086226461";"1.90081949540149";"1.34574411568148";"0.49163675947956";"0.935399060521804";"0";"0"
"39";"Linda_Ronstadt";"0.0120683365758755";"257";"69";"794";"0.0152444366567373";"6";"2";"1.61334991455078";"0";"1";"310.788732394366";"10.3732394366197";"916.383421105974";"69.6228552547853";"0";"0";"65";"12.0226700251889";"13.0401258677821";"0.578731790084036";"36";"18";"31";"57";"1.95652173913043";"1";"1";"0";"1.15942028985507";"0.797101449275362";"1";"0";"1.5";"1.11111111111111";"0.388888888888889";"1.72222222222222";"1.05555555555556";"0.666666666666667";"1.67741935483871";"1.16129032258065";"0.516129032258065";"1.24561403508772";"1.01754385964912";"0.228070175438596";"115";"679";"2.20583972678337";"0";"0";"0";"0.851006124360991";"1.50078126854891";"0";"0";"1.85933936040274";"0.666666666666667";"1.22539271320965";"2.10896003240949";"0.53930480546961";"1.64495664165995";"1.79605302026775";"0.778750032361621";"1.12163475165895";"1.07372352377779";"0.442849058055396";"0.802174363385656";"0";"0"
