"";"page";"nedits_edit";"nedits_talk";"density_edit";"density_talk";"ncontributors_edit";"ncontributors_talk";"nadmins_edit";"nadmins_talk";"nbots_edit";"nbots_talk";"nanon_edit";"nanon_talk";"transitivity_edit";"transitivity_talk";"centralization_edit";"centralization_talk";"mean_betweenness_edit";"mean_betweenness_talk";"mean_betweenness_admins_edit";"mean_betweenness_admins_talk";"mean_degree_centrality_edit";"mean_degree_centrality_talk";"mean_degree_centrality_admins_edit";"mean_degree_centrality_admins_talk";"sd_betweenness_edit";"sd_betweenness_talk";"sd_betweenness_admins_edit";"sd_betweenness_admins_talk";"sd_degree_centrality_edit";"sd_degree_centrality_talk";"sd_degree_centrality_admins_edit";"sd_degree_centrality_admins_talk";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured"
"49";"Nullum_crimen,_nulla_poena_sine_praevia_lege_poenali";"173";"36";"0.0358178053830228";"0.0340909090909091";"70";"33";"10";"3";"7";"1";"9";"4";"0.11362248014661";"0";"0.470909472799832";"0.07763671875";"1.82608695652174";"15.3076923076923";"0.233333333333333";"12";"4.01449275362319";"2.5";"2.7";"2";"6.52485098511439";"13.2325937919041";"0.629520687742902";"10.5830052442584";"5.12058347325423";"1.33416640641263";"0.674948557710553";"1";NA;"3.16666666666667";"2.80305955290694";"0";"0"
"50";"Oil_spill";"18184";"435";"0.0122472456494125";"0.0026195982078335";"1219";"408";"116";"6";"4";"3";"695";"182";"0.0733257638494371";"0.0195758564437194";"0.637701176388114";"0.0170782799775429";"454.875205254516";"398.691525423729";"36.2546688298685";"0";"28.9761904761905";"2.56610169491525";"22.4655172413793";"1";"4429.30807260939";"715.229771198186";"229.718810348033";"0";"71.7049573717717";"2.12088819231869";"35.9730408801496";"0";NA;"8.75632183908046";"12.0605395056801";"0";"0"
"51";"Other_Losses";"983";"311";"0.0315549563430919";"0.00923616060822048";"177";"184";"24";"9";"7";"4";"62";"34";"0.126179349263733";"0.0135483870967742";"0.665386105371901";"0.281913464122548";"178.517045454545";"159.602150537634";"107.446373219002";"0";"9.78409090909091";"5.70967741935484";"19.625";"1";"789.510498027443";"364.335987082048";"322.358734757477";"0";"21.7215883995025";"14.4331898950642";"49.9946192756954";"0";NA;NA;NA;"0";"0"
"52";"Paraphilia";"1744";"625";"0.0291736366677819";"0.00287195228423597";"245";"467";"56";"15";"0";"8";"113";"118";"0.10081283072391";"0.0104712041884817";"0.515965130341306";"0.0949708964983698";"106.155737704918";"1417.98653198653";"34.303737323417";"8.4";"13.2090163934426";"3.63636363636364";"4.28571428571429";"1.06666666666667";"691.65876822963";"2849.25978322757";"109.255802321491";"32.5330601081423";"22.381313870083";"7.70414228540779";"3.96674487899902";"0.258198889747161";NA;"5.3552";"7.37515162816749";"0";"0"
"53";"Pat_Buchanan";"15348";"1739";"0.00691784495697757";"0.00169632719312963";"1490";"1013";"120";"27";"24";"8";"725";"252";"0.0564948459430421";"0.00931258424212719";"0.552553063184193";"0.313336308175413";"1584.61652115514";"3960.06954887218";"1486.44254551422";"0";"19.4969778374748";"5.63345864661654";"13.3833333333333";"1";"9328.82683724642";"11611.9147460786";"7773.34703236753";"0";"60.909693401535";"29.0602181605827";"40.0579796881305";"0";NA;"4.56929269695227";"6.22794845069368";"0";"0"
"54";"Piprahwa";"642";"97";"0.0555555555555556";"0.048989898989899";"108";"45";"10";"1";"9";"1";"28";"9";"0.254458314757022";"0.0816326530612245";"0.684426587474889";"0.310175619834711";"78.9345794392523";"19.9230769230769";"182.673745327491";"0";"10.5700934579439";"6.73076923076923";"18.2";"1";"252.698094344852";"26.9932185215814";"383.618935490881";NA;"20.6224425056016";"9.62728494356614";"22.3447731894707";NA;NA;NA;NA;"0";"0"
"55";"Puerto_Rico";"52";"616";"0.08";"0.00380232830882807";"26";"403";"9";"28";"0";"2";"6";"164";"0.267175572519084";"0.0193548387096774";"0.416";"0.124616346130046";"1.84";"1104.78368794326";"1.77777777777778";"0";"3.2";"3.93971631205674";"2.88888888888889";"1";"3.84523514668912";"3028.26740777591";"3.49205447329283";"0";"2.12132034355964";"8.72554542591654";"1.36422546197874";"0";NA;NA;NA;"0";"0"
"56";"Quebec";"501";"71";"0.0980046948356808";"0.0455128205128205";"72";"40";"21";"6";"0";"0";"33";"14";"0.297855440826052";"0.0845070422535211";"0.721880579250149";"0.111111111111111";"37.0140845070422";"53.7586206896552";"33.550900484923";"0";"12.4929577464789";"4.51724137931035";"14";"1";"132.476158549244";"67.6739320842512";"79.0997030797206";"0";"19.4978923692036";"3.55186761391779";"21.7117479720081";"0";"49";NA;NA;"0";"0"
"57";"Robert_F._Kennedy";"33";"404";"0.121323529411765";"0.00482042715666388";"17";"290";"5";"14";"0";"0";"5";"96";"0.338461538461538";"0.0153649167733675";"0.40234375";"0.106272673938291";"3.5";"770.608108108108";"2.6";"91.5";"3.125";"3.33333333333333";"2.4";"1.5";"5.16074929960111";"1518.48589881873";"5.81377674149945";"219.679749425595";"1.70782512765993";"5.35581611093753";"1.94935886896179";"1.34450448407296";"3";NA;NA;"0";"0"
"58";"Ronald_Reagan";"135";"1804";"0.0598404255319149";"0.00141906901521015";"48";"1128";"22";"71";"0";"1";"10";"419";"0.20462850182704";"0.0189158954540832";"0.525577184246265";"0.157105301902405";"5.68085106382979";"5798.84507042254";"3.22121212121212";"0";"4.59574468085106";"4.17541613316261";"5.81818181818182";"1.02816901408451";"14.4016014016304";"16832.5632571113";"7.5405327689517";"0";"4.4850455596934";"14.1293007062772";"11.2106937198219";"0.237356331638771";NA;NA;NA;"0";"0"
"59";"Sailor_Moon";"36635";"21";"0.00953152806252537";"0.0323076923076923";"1961";"26";"115";"0";"20";"0";"1161";"0";"0.0838247516523529";"0";"0.634414436693045";"0.2576";"1453.01224489796";"0.285714285714286";"158.868750643499";"NaN";"36.0954081632653";"3.28571428571429";"12.7826086956522";"NaN";"19839.4287117618";"0.755928946018454";"677.377036249579";NA;"111.254109384154";"4.78589196542942";"34.0739089896766";NA;NA;NA;NA;"0";"0"
"60";"Sheila_Jeffreys";"526";"62";"0.0235346756152125";"0.0216631726065688";"150";"54";"15";"1";"11";"2";"34";"6";"0.136464909023394";"0";"0.479663078239719";"0.160555357778569";"32.3959731543624";"17.7";"47.2889614633732";"44";"6.06040268456376";"2.75";"7.2";"2";"99.787935534804";"18.5267651153952";"162.709869487405";NA;"8.75664086829013";"3.04454114264051";"13.5709774361108";NA;NA;"3.83870967741935";"4.16933987929566";"0";"0"
"61";"Silesia";"2549";"158";"0.10146485152456";"0.0162853019995877";"159";"99";"34";"8";"1";"0";"59";"14";"0.326389520604021";"0.0226586102719033";"1.95513539496876";"0.390722615576843";"165.259493670886";"165.586206896552";"110.729694989012";"0";"30.6455696202532";"4.74137931034483";"12.2352941176471";"1.625";"518.275921912772";"268.702909182063";"477.402136454438";"0";"76.4335668373679";"10.5357542379448";"16.5420654302524";"1.76776695296637";NA;NA;NA;"0";"0"
"62";"Solar_power";"3371";"113";"0.0157592587398203";"0.0116470830756545";"463";"99";"33";"0";"2";"1";"270";"40";"0.0815479676943003";"0.00622406639004149";"0.687023294166151";"0.245939192003332";"141.489177489178";"47.968253968254";"36.2826177482706";"NaN";"13.6190476190476";"3.01587301587302";"8.3030303030303";"NaN";"1186.75852653002";"129.030781305553";"150.37377105845";NA;"39.1172926786819";"6.31815628346788";"15.6334674026686";NA;NA;NA;NA;"0";"0"
"63";"Standardization_of_Office_Open_XML";"844";"315";"0.0439995829423418";"0.0109641489731987";"139";"170";"11";"4";"9";"3";"35";"15";"0.155264326965793";"0.0574957410562181";"0.937381852551985";"0.349077413255838";"75.1449275362319";"277.253521126761";"9.1783649215102";"0";"10.2826086956522";"7.47887323943662";"5";"1";"312.838409181233";"596.916011031926";"21.4807149411371";"0";"24.665644161549";"17.2020423662255";"5.42217668469038";"0";NA;"5.82539682539683";"10.3627512801196";"0";"0"
"64";"Steven_Universe";"3447";"466";"0.0140395894428152";"0.00579803911810083";"496";"284";"16";"2";"6";"3";"320";"116";"0.0800043460939481";"0.00945732943030849";"0.637751249872462";"0.27254679169424";"486.719191919192";"805.205882352941";"0.0958472517066267";"0";"12.6262626262626";"4.17647058823529";"2.125";"1";"3727.7180100498";"2168.8265707597";"0.271273805057348";"0";"37.1537961995292";"14.3502367874636";"0.718795288428261";"0";NA;"5.48497854077253";"5.41014476179931";"0";"0"
"65";"Surrogate_mother";"76";"6";"0.0935960591133005";"0.0833333333333333";"29";"9";"11";"1";"0";"0";"12";"3";"0.234295415959253";"0";"0.309948979591837";"0.046875";"0.892857142857143";"1.66666666666667";"1.13636363636364";"0";"4.64285714285714";"1.5";"4.72727272727273";"1";"1.48324960626114";"1.86189867250253";"1.87204312304644";NA;"3.6333260521261";"0.547722557505166";"4.90083480829356";NA;"3";"1";"1.26491106406735";"0";"0"
"66";"Three_Gorges_Dam";"8675";"389";"0.0126994211698985";"0.00390797669278682";"827";"316";"97";"10";"0";"0";"475";"126";"0.0773365235913746";"0.0157790927021696";"0.455769366063001";"0.0358881330309902";"961.491525423728";"1559.85858585859";"1201.92836174864";"0";"20.0690072639225";"3.33333333333333";"10.5463917525773";"1";"6317.5212016085";"2656.40704995852";"7588.01076122067";"0";"45.8672004891322";"4.02403943830267";"31.3647960228225";"0";NA;NA;NA;"0";"0"
"67";"Tiananmen_Square_protests_of_1989";"22240";"860";"0.0136701702624624";"0.0017327530625403";"1276";"705";"143";"22";"1";"2";"777";"295";"0.0961518721356415";"0.015353121801433";"0.599741022683583";"0.0359602999096074";"1236.17568627451";"3749.7387755102";"486.13973032545";"17.5454545454545";"33.8478431372549";"3.07142857142857";"30.8811188811189";"1.13636363636364";"12366.0299162902";"7576.35347418966";"2099.98058898506";"82.2954765132656";"85.7209085425303";"4.39103474070401";"67.0953168440336";"0.639602149066831";NA;NA;NA;"0";"0"
"68";"Time_Warner";"324";"586";"0.0196220930232558";"0.00288741069228874";"129";"451";"25";"17";"1";"5";"50";"156";"0.094929612557618";"0.0159786950732357";"0.4998779296875";"0.101782716049383";"22.46875";"1016.77743902439";"16.34";"1.29411764705882";"4.03125";"3.19817073170732";"7.8";"1.05882352941176";"73.3308463846972";"1835.20149613319";"74.9591166347808";"5.33578375079933";"4.21272444435836";"5.70050668450254";"26.0144190786571";"0.242535625036333";NA;"6.41126279863481";"7.47415897741731";"0";"0"
