"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_admins";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"nadded";"ndeleted";"nrestored";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured";"istalk_page"
"11";"Biafra";"0.25";"4";"0";"3";"0";"2";"0";"0.111111111111111";"0";"1";"0.25";"1.5";"0.5";"0.577350269189626";"0";"0";"NaN";"0";"0";"0";"2";"NaN";"NaN";"0";"1";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"1";"0";"1";"0";"3";"0";NA;NA;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0";1
"12";"Bill_Clinton";"0.0555555555555556";"36";"14";"70";"0.278728606356968";"7";"0";"0.20734693877551";"2.26190476190476";"4";"1.94444444444444";"3.88888888888889";"3.45676240855607";"3.64713412168888";"4.21401667153044";"3.41565025531987";"-0.222171885727707";"5";"4";"5";"13";"4.28571428571429";"2.16666666666667";"1.14285714285714";"2.85714285714286";"2.5";"1.78571428571429";"0.666666666666667";"1.5";"3.2";"1.6";"1.6";"2.5";"1";"1.5";"5.4";"3.8";"1.6";"3.69230769230769";"1.23076923076923";"2.46153846153846";"0";"69";"1";"3.14834685384059";"1.47196014438797";"1.21498579258791";"2.911389784311";"3.05714799219041";"0.974961255922229";"0.516397779494322";"1.7606816861659";"3.27108544675922";"1.94935886896179";"1.34164078649987";"1.73205080756888";"0.816496580927726";"1.29099444873581";"4.33589667773576";"4.65832587954085";"0.894427190999916";"2.59437260831385";"1.23516841994969";"2.33150111213729";"0";"0";1
"13";"Black_supremacy";"0.0408195182984048";"139";"64";"783";"0.248422949834785";"23";"0";"1.00262549884478";"28.5056669753265";"9.73913043478261";"76.9208633093525";"11.2661870503597";"469.454909831731";"27.4568371516196";"71.7845857120993";"15.5569843750596";"0.000494198643558437";"19";"20";"26";"60";"15.484375";"7.36842105263158";"3.78260869565217";"5.95652173913043";"8.890625";"6.59375";"2.34210526315789";"5.02631578947368";"16.5789473684211";"9.73684210526316";"6.84210526315789";"23.95";"9.8";"14.15";"10.0384615384615";"6.38461538461539";"3.65384615384615";"7.33333333333333";"3.3";"4.03333333333333";"0";"596";"187";"37.7855234677271";"12.868190516513";"5.40165397009548";"14.1917974416388";"20.7066565384178";"18.2901819009067";"3.58884394387455";"11.8993228108595";"23.8451387765904";"16.3905192964414";"9.62209931988012";"63.7730144216271";"32.493886064596";"33.3849556410952";"11.1551988569663";"8.9177437643248";"4.93106323376456";"11.5195731245455";"4.88269167223384";"9.77365304199565";"0";"0";1
"14";"Brian_Williams";"0.00759367867345859";"728";"360";"4019";"0.111959610310534";"40";"6";"0.139778517356663";"0.583333333333333";"3.475";"435.135989010989";"11.0412087912088";"2338.11572507313";"22.1967804317527";"3.63564969681469";"3.99991987099229";"-0.000436784921905787";"168";"103";"133";"268";"16.2555555555556";"6.05639097744361";"2.85";"0.625";"6.73055555555556";"9.525";"4.80451127819549";"1.25187969924812";"13.922619047619";"5.11309523809524";"8.80952380952381";"16.6504854368932";"6.45631067961165";"10.1941747572816";"12.7518796992481";"7.57142857142857";"5.18045112781955";"6.96268656716418";"4.83208955223881";"2.13059701492537";"0";"2683";"1336";"26.6775070816524";"14.2614606856405";"4.22173861377951";"1.14774025472129";"13.0079110157673";"24.2485835097313";"12.341651304832";"7.04008041874908";"23.9485468972282";"10.9152563643671";"22.362005946505";"28.4576426682294";"12.5078616054763";"26.367708360137";"18.0060621168293";"14.0023189174128";"11.4162527594509";"19.2080689647496";"12.2873589970765";"14.6385194376901";"0";"0";1
"15";"Britney_Spears";"0.0148290451686678";"1750";"1149";"45388";"0.131175119345318";"202";"2";"0.828411628502246";"9.43105972499922";"14.3465346534653";"1381.48571428572";"51.872";"16662.5569110598";"129.636765108994";"92.8765484387361";"32.7766254667309";"-0.041489099529912";"355";"426";"412";"471";"69.302001740644";"20.0868167202572";"13.6782178217822";"0.668316831683168";"30.9599651871192";"38.3420365535248";"16.8520900321543";"3.23472668810289";"55.7295774647887";"28.2450704225352";"27.4845070422535";"57.6455399061033";"24.0164319248826";"33.6291079812207";"71.1747572815534";"30.9077669902913";"40.2669902912621";"32.1528662420382";"22.5498938428875";"9.60297239915074";"0";"24782";"20606";"154.766307492987";"38.8244459050486";"32.3116112209467";"6.84467953587818";"98.5031002819484";"95.8942442476135";"36.16089476401";"16.6847298306516";"77.2737089837381";"59.2124318636935";"58.6604869174464";"102.074730139256";"65.7891263137096";"75.7097771145302";"185.732071747477";"116.934449322304";"108.136736805217";"130.915329089849";"81.4788652598406";"71.8037626560863";"0";"0";1
"16";"Bromberg_Bloody_Sunday";"0.5";"2";"0";"1";"NaN";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"NaN";"0";"0";"0";"2";"NaN";"NaN";"0.5";"0.5";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"1";"0.5";"0.5";"0";"1";"0";NA;NA;"0.707106781186548";"0.707106781186548";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0.707106781186548";"0.707106781186548";"0";"0";0
"17";"Bumfights";"0.00753383043358188";"426";"239";"1364";"0.10870322625601";"30";"3";"0.095042214532872";"0.172222222222222";"5.36666666666667";"68.7065727699531";"6.4037558685446";"422.952737159749";"11.678492448097";"0.753641648500827";"6.5520901289185";"-0.00874520535885454";"128";"64";"74";"135";"8.25523012552301";"3.5968992248062";"4.86666666666667";"0.5";"3.18828451882845";"5.06694560669456";"2.75968992248062";"0.837209302325581";"7.78125";"3.0625";"4.71875";"5.875";"2.96875";"2.90625";"9.2027027027027";"3.45945945945946";"5.74324324324324";"4.06666666666667";"3.16296296296296";"0.903703703703704";"0";"935";"429";"14.6312418932084";"4.7770927675813";"6.80128453046686";"1.13714706536836";"6.49709928703569";"13.0649522940809";"4.50654938984372";"2.62735221300129";"14.3224604735272";"7.31275447097439";"11.6571342759513";"10.7902072004467";"5.23410291581407";"9.62094070244693";"15.889153472567";"5.37163832866197";"15.7167224534808";"5.23079286818459";"5.10078631252876";"2.32081455744762";"0";"0";1
"18";"Camilla,_Duchess_of_Cornwall";"0.00659461541338956";"1202";"627";"9520";"0.119665398963942";"91";"10";"0.25589971166132";"186.376432149972";"7.18681318681319";"1241.73627287854";"15.8402662229617";"9400.66192007112";"42.3688389090802";"813.194990455098";"23.6041013799213";"-0.117224948978207";"235";"228";"206";"436";"23.6299840510367";"7.41644562334217";"3.02197802197802";"4.16483516483517";"11.6666666666667";"11.96331738437";"3.59416445623342";"3.82228116710875";"25.4765957446808";"13.7957446808511";"11.6808510638298";"18.6184210526316";"8.95614035087719";"9.66228070175439";"17.5873786407767";"6.5631067961165";"11.0242718446602";"10.2545871559633";"5.35091743119266";"4.90366972477064";"0";"6366";"3154";"54.8719123710131";"17.8992168226635";"5.31032123317522";"23.3205983038666";"31.3714052796903";"34.1803185970043";"5.25238222593808";"17.2565970146816";"63.1740446701448";"37.1253476051919";"34.9954248432042";"48.8281082222322";"25.1474560070754";"30.8684144639075";"32.6399371699887";"11.1732868740146";"31.3800370470935";"30.2043896035563";"18.204667181862";"21.2137427874924";"0";"0";1
"19";"Celtic_languages";"0.0487804878048781";"42";"12";"84";"0.350132625994695";"6";"0";"0.174895895300416";"2.25";"4.5";"3.38095238095238";"4";"8.92207196656354";"4.06652005600042";"3.65718470958195";"4.9295030175465";"-0.0873097522560997";"6";"3";"8";"17";"3.83333333333333";"5";"2.66666666666667";"1.83333333333333";"1.83333333333333";"2";"2.625";"2.375";"5";"3.33333333333333";"1.66666666666667";"5";"4";"1";"4";"1.125";"2.875";"4.47058823529412";"2.29411764705882";"2.17647058823529";"0";"81";"3";"2.24957908520818";"5.37897140105182";"2.65832027165025";"2.40138848724372";"2.08166599946613";"1.75809814598307";"4.08044115262063";"3.34414911948216";"5.69209978830308";"6.25033332444492";"1.75119007154183";"2";"2";"0";"3.07059789431495";"1.64208056179609";"2.99702233177246";"4.87490573061192";"2.36549957414795";"3.00489796244496";"0";"0";1
"20";"Chris_Christie";"0.013106568887502";"494";"276";"3192";"0.115297959183673";"25";"8";"0.342556439236533";"7.79000288600289";"5.56";"265.785425101215";"12.9230769230769";"1647.52131346462";"32.4532766631132";"37.1671564071321";"8.70383057433143";"-0.125291805695567";"133";"72";"105";"152";"18.1775362318841";"5.80392156862745";"3.76";"1.8";"7.76449275362319";"10.4130434782609";"4.40522875816993";"1.39869281045752";"18.2631578947368";"6.72932330827068";"11.5338345864662";"19.625";"9.58333333333333";"10.0416666666667";"11.0571428571429";"5.6";"5.45714285714286";"7.01315789473684";"4.98026315789474";"2.03289473684211";"0";"1987";"1205";"41.4327187673369";"8.50546173096828";"6.36579400651115";"6.77618378341871";"21.1764613774124";"33.491649599346";"7.32375183231059";"4.47704653185946";"39.0456016878249";"14.3838755575043";"37.3437246507444";"52.7381085989207";"30.8703558975182";"34.1163863400186";"25.945145007314";"15.2672349015289";"20.3138966130183";"11.8007670881576";"9.48576514191872";"5.51388105423367";"0";"0";1
